epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,223.838,1.38142,4.81383,1.22566,0.02152,0.3869,0.03179,0.02016,1.2628,4.34748,1.15753,5.11946e-05,5.11946e-05,5.11946e-05
2,440.166,1.36107,4.17172,1.1917,0.02533,0.58592,0.06036,0.03941,1.24279,4.10459,1.16454,9.91445e-05,9.91445e-05,9.91445e-05
3,630.401,1.39095,3.65506,1.24436,0.23784,0.19554,0.13547,0.09336,1.28927,3.76959,1.22835,0.000143706,0.000143706,0.000143706
4,839.492,1.38582,3.23461,1.23004,0.39823,0.22116,0.21209,0.14276,1.28573,3.40137,1.25005,0.000138754,0.000138754,0.000138754
5,1058.93,1.38647,2.90682,1.25304,0.22476,0.34238,0.26523,0.17691,1.29014,3.24497,1.26269,0.000133672,0.000133672,0.000133672
6,1281.87,1.36037,2.62425,1.24033,0.43371,0.34399,0.35442,0.23287,1.30361,2.96809,1.29348,0.00012859,0.00012859,0.00012859
7,1483,1.35437,2.44235,1.24143,0.52417,0.36682,0.42044,0.28326,1.30154,2.78117,1.29851,0.000123508,0.000123508,0.000123508
8,1681.57,1.34097,2.27493,1.24422,0.42659,0.47758,0.47322,0.31623,1.29721,2.62655,1.29825,0.000118426,0.000118426,0.000118426
9,1871.64,1.33232,2.16862,1.22911,0.5664,0.44753,0.50676,0.33785,1.3104,2.53815,1.31424,0.000113344,0.000113344,0.000113344
10,2060.62,1.31229,2.03672,1.2183,0.51348,0.51441,0.53426,0.35355,1.3112,2.37462,1.30912,0.000108262,0.000108262,0.000108262
11,2251.5,1.30134,1.94031,1.21738,0.54031,0.55321,0.56763,0.37634,1.28554,2.28155,1.29839,0.00010318,0.00010318,0.00010318
12,2436.16,1.28536,1.8659,1.21485,0.546,0.55879,0.58888,0.39184,1.28384,2.23019,1.29925,9.8098e-05,9.8098e-05,9.8098e-05
13,2626.79,1.27466,1.82778,1.21142,0.55364,0.60546,0.61774,0.41059,1.25676,2.12543,1.28148,9.3016e-05,9.3016e-05,9.3016e-05
14,2825.21,1.27015,1.75713,1.21277,0.61061,0.60309,0.64236,0.42106,1.26507,2.04773,1.28745,8.7934e-05,8.7934e-05,8.7934e-05
15,3026.77,1.2507,1.7122,1.19469,0.59765,0.6231,0.65842,0.43192,1.26407,2.03687,1.29244,8.2852e-05,8.2852e-05,8.2852e-05
16,3226.59,1.26346,1.67599,1.21461,0.61482,0.63873,0.66551,0.44001,1.2722,1.95951,1.28537,7.777e-05,7.777e-05,7.777e-05
17,3468.67,1.24033,1.62632,1.19072,0.66175,0.62698,0.69063,0.45008,1.26848,1.88466,1.28047,7.2688e-05,7.2688e-05,7.2688e-05
18,3651.13,1.23966,1.59691,1.19235,0.65923,0.65736,0.70627,0.46357,1.25879,1.85993,1.27433,6.7606e-05,6.7606e-05,6.7606e-05
19,3828.68,1.22748,1.56876,1.18538,0.66459,0.66396,0.70566,0.46389,1.27698,1.80366,1.29015,6.2524e-05,6.2524e-05,6.2524e-05
20,4009.25,1.22692,1.55287,1.18345,0.70228,0.66511,0.71947,0.46612,1.27509,1.77872,1.29175,5.7442e-05,5.7442e-05,5.7442e-05
21,4287.95,1.12442,1.35318,1.169,0.63017,0.70755,0.71107,0.46305,1.26785,1.76461,1.27474,5.236e-05,5.236e-05,5.236e-05
22,4458.16,1.11005,1.27714,1.15598,0.68379,0.6777,0.72313,0.46937,1.24937,1.70931,1.26293,4.7278e-05,4.7278e-05,4.7278e-05
23,4630.26,1.10063,1.2401,1.14457,0.66681,0.70985,0.7334,0.48157,1.23647,1.68609,1.25861,4.2196e-05,4.2196e-05,4.2196e-05
24,4802.87,1.09815,1.2262,1.14563,0.67021,0.70682,0.73147,0.48144,1.23317,1.65323,1.25496,3.7114e-05,3.7114e-05,3.7114e-05
25,4976.99,1.09717,1.21505,1.1344,0.64686,0.72676,0.74143,0.48585,1.23579,1.63533,1.25385,3.2032e-05,3.2032e-05,3.2032e-05
26,5345.28,1.08894,1.19041,1.13402,0.68325,0.71091,0.74415,0.48857,1.23566,1.6169,1.2511,2.695e-05,2.695e-05,2.695e-05
27,5562.39,1.08861,1.19267,1.13541,0.68942,0.72174,0.74673,0.49184,1.23341,1.61538,1.25141,2.1868e-05,2.1868e-05,2.1868e-05
28,5779.84,1.0858,1.17156,1.1297,0.69291,0.71928,0.75074,0.49563,1.22906,1.60126,1.24905,1.6786e-05,1.6786e-05,1.6786e-05
29,5987.42,1.07206,1.15127,1.12605,0.66535,0.74865,0.75624,0.49719,1.23007,1.60242,1.24908,1.1704e-05,1.1704e-05,1.1704e-05
30,6183.13,1.07662,1.15632,1.13092,0.6938,0.70986,0.75449,0.49542,1.23482,1.60153,1.25047,6.622e-06,6.622e-06,6.622e-06
